text,sentiment
geologi banjir bandang sumut sumbar aceh fenomena alir material lumpur pasir batu campur air hujan alir deras alur sungai lereng bukit ganggu stabil alur ubah lumpur pekat bahaya berat cepat picu curah hujan gerus endap alur ganggu alir lumpur campur pasir kerikil kerakil kerakal boulder gerak gravitasi alir pekat daya beda alir air pasir alir campur lumpur pekat sifat bawa kerikil kerakil kerakal boulder bencana banjir bandang bencana banjir lahar dingin gunung rap barusaja erupsimeletus air hujan guyur sekitar gunung rap campur abu volkanik endap piroklastik hasil erupsi alir pekat gravitasi bawa pasir kerikil kerakil kerakal ukur boulder kondisi picu hujan deras intensitas area ganggu lumpur material longsor kelembaban interaksi material air air hujan resap campur material lumpur pasir kerikil longgar lereng bukit ubah alir lumpur pasir kerikil kental alir turun sungai gravitasi alir lumpur gerak ikut jalur sungai das datar rendah bentuk banjir lahar dingin karakteristik bahaya komposisi campur air dingin lumpur pasir kerikil batu padat massa berat air material padat cepat alir cepat capai puluh kilometer jam air sulit hindar dampak rusak infrastruktur jembatan jalan kubur mukim timbul korban jiwa sifat beton cair mati faktor sebab curah hujan faktor picu utama intensitas topografi lereng curam cepat alir sungai pada besar luap endap lumpur material stabil faktor utama drainage buruk salur sungai sumbat pada buruk banjir bandang luap bawa material kayu dll,Negatif
bicara tenryuubito onepiece episode,Negatif
warning bmkg guna tindak nyata henti tebang hutan sop siap hadap bencana saran ya perintah anggar bangun shelter keluarahandesa bangun daya rumah ibadah bangun sekolah minimal diupgrade lantai kuat struktur anti gempa anti tsunami banjir bandang guna rumah ibadah sekolah bencana fungsi shelter bencana masyarakat lari lindung rumah ibadah sekolahsekolah latih sop mitigasi bencana rutin sekolah sekolah masyarakat flyer selebaran sosmed,Positif
puncak serakahnomics rusa pikul rakyat korban jiwa tinggal ekonomi sosial abai balak hutan casing investasi tuju tumpuk triliun dana politik dinasti temu tindak milik bunkerbunker simpan uang,Negatif
akibat serakah manusia membabibuta tebang pohon hutan bencana alam niscaya,Negatif
lambat lapor banjir presiden lingkar ring ya curiga lambat bijak penangananmembuat publik percaya perintah,Positif
sesneg viral medsos,Negatif
sehat aktivis greenpeace,Negatif
ujung oknum setan solo,Negatif
jokowi orang tanggung,Negatif
dikorbanin sih zulhas pimpin atas ya seram sawit tambang dll ya,Negatif
negara rampok zaman ya orba zaman now rakyat kasih barang subsidi beban rakyat harta kaya jabat lihat alam semesta tunjuk penghianat bangsa,Negatif
uu lindung lingkung kuat ideal imbang penting ekonomi lingkung jaga lingkung rusak jadi maju ekonomi sia sia,Negatif
lucu dpr gilir uu cipta kerja omnibuslow sah grusa grusu gilir kena musibah aceh revisi uu kesan dpr sangka jahat lagak hero,Negatif
sek mending jokowi tanggap musibah,Negatif
sumut langka minyak gubsu biar mafia minyakcaranya mudah kerja gub riau bantu langka minyak sumutatau presiden perintah tambah pasok minyak sumut,Negatif
apa joget harap pimpin pilih joget joget gemoy pimpin arif bijaksana kualitas canda,Negatif
produk hukum jokowi desdruktif,Positif
tutup tpl,Negatif
usaha eksploitasi main,Negatif
kelas presiden info akurat gawat gawat informasi perintah diam demo agustus banjir sih sumatera menteri wamen,Negatif
pilih pimpin alam paham sosmed biar penanganya cepat,Negatif
prediksi beliau indonesia bubar,Negatif
rezim blueprint surabaya hadap bencana tsunami rusa moral perintah kayak kanker lelet tau malu penuh denial sembarang lambatlaun biar rakyat mati,Negatif
korban banjir desa securaibrandan bantu sembako pemda langkat pempro sumut,Negatif
prabowo omonomonjokowi cawecawepemerintah dalang ambah hutan peduli korban bencana,Negatif
akumulasi buat manusia timbul rusa wesssss semarawut pol negara konoha,Negatif
tambah das das jaman purba kuat struktur tepi das,Negatif
prabowo lambat tanggap keliling mafia,Positif
jabat sangkut kelapa sawit senang mati buka lahan,Negatif
bikin pusing deh mundur gue sih,Negatif
minimal sih salah,Negatif
pecaaatlagian menteri raja juli kasih jabat susah kerja orang main dadu pintar,Negatif
bencana kali kali perintah gagap olah bencana kali,Negatif
simak,Negatif
kangen pram muncul,Negatif
dengar cak nun bilang alam bencana,Negatif
pimpin bencana,Negatif
speak up bocor alus,Negatif
ijin allah swt alam buka tabir manusia manusia serakah,Positif
gagap main,Negatif
allah alas sih gemoy takut mulyono takut bongkar andil rusa hutan aceh sih gemoy sandera,Positif
hti prabowo,Negatif
sedih marah minim perhati gercepnya perintah tangan tragedi manusia daerah aceh sumut sumbar cenderung abai kesan biar sengsara rakyat korban banjir longsor bukti ber jadi lokasi jamah bantu ber korban derita multi derita hilang anggota keluarga rumah harta kaya musnah lapar dingin derita lengkap derita lahir batin sejarah negara diri sumbangsih sumatera bidang tokoh materi coba siap merdeka merdeka tokoh sumbar sumut peran lambat laun singkir kuasa peran hatta syahrir moh yamin agus salim parada harahap burhanudin harahap dst dukung materi aceh riau dst sumbang sumatera aspek materi negeri hasil tambang kebun hutan limpah oleh sumatera sejarah ronta prri gam tidak adil jakarta hasil sumatera angkut jakarta kembali minim banget andai sumatera bikin negara pisah jakarta logika makmur timbang atas rakyat sumatera lapar jam alas bantah alas cuaca berat medan,Negatif
surabaya susilo bambang yudhoyono cleared million hectares of forest for mining and million hectares for palm oil and suharto cleared million hectares for mining and million hectares for palm oil copra cocoa etc yet palm oil is blamed lo typical american nonsense freeport cut down million trees open a mining area of million hectares and has never been criticized lol,Negatif
t guyur,Negatif
percaya sih ya percaya citra,Positif
sedih kanmilih kemampuancuma ambisi,Negatif
simple takut sawit tahu publik,Positif
tempo,Negatif
iya ya hidup keliling bencana lingkung alam hukum etik bencana konstitusi lalai suara,Negatif
usaha sawit hulu sungai kembali fungsi hutan menteri hutan tani industri tetap jenis tanam tanam daerah hulu hilir sungai mendagri atr bpn menteri menteri rumah pemda sosialisasi masif tingkat rt rw tertib bebas bangun huni daerah bantaran sempadan sungai,Positif
pesimis presiden indonesia kerja biar miskin ngandelin perintah ng mana,Positif
meanwhile anggar bgn giat parade,Positif
suruh sikempros ulil absor koar koar bela tambang atur,Negatif
presiden usak hutanmo,Negatif
tau komen,Negatif
bencana inipara jabat ya cuci tangan duka cita andil sebab ya bencana,Positif
dirut hutan aset miliar kaget tbtb hutan gundul lahan sawit lol,Positif
jadi bencana nasional bos andil,Positif
bahas undang sana udang cabik kayak kartel presiden ya bisnis ya ganggu bencana alam sepele tanggung aku salah woi antek antek sawit,Negatif
bencana berdatagan akibat moral rusak,Negatif
terima bantu asing,Positif
indonesia darurat,Negatif
tuju copot instansi kait menteri hutan kemesdm menterinyaakibat kelalaiankecorobohanmengakibatkan banjir bandang tel korban jiwa orangjangan enak duduk jabat tanggungjawab pikul rusak lingkunganjuga sebab korban jiwa tukar materi apa tebang hutan gali tambangyg wewenangnya moga presiden copot periksa bijak,Negatif
mangkanya jual suara harga beras uang ribu bilang bawah,Positif
singkap tabir betapa watak manusia utama indonesia pegang kuasa parah jahat sejarah cerita belanda jepang indonesia sengsara parah belanda jepang peristiwa sumatera potensi daerahdaerah indonesia hadap rusa sumberdaya alam akibat rakus manusiamanusia serakah masyarakat penting indonesia,Negatif
perintah buruk hasil situasi buruk rakyat negara puncak jago omonomon lapis jilat orientasi bisnis lapis tiga isi jilat egoisme ya maksimal lapis sisa derita rakyat,Negatif
perintah gelagap hadap bencana delay tangan perintah klaim sukses tangan bencana,Negatif
bencana manusia pohon ya akar ranting tebang kayu kuasa molyono sawit ya serakah ya manusia korban nyawa,Positif
ganti mntri krja,Negatif
coba mas hitung penerimn negara pajak pnbp usaha banding keluar negara masyarakat baik,Negatif
perintah tau aktor ya rtcamatbupatigubernurmrntri atasnyamereka tutup mata bagi tuntut rakyat salah sopir truck bawa kayu,Negatif
bayang sumatra alam diexploitasi gurun arab,Negatif
angkat ijazah jokowi,Positif
rakyat hilang percaya,Positif
kawal presiden periode,Positif
heran lihat kepala bnpbmau terima laporanongkang ongkang kakiga kerja,Positif
pasca banjir sumatera utara bgnn tapanuli selatsn kec batangtoru tlah rusak lahan tani desa mukim nyawa akibat rusak ekologi batangtoru gundul penggslian akibat industri fan tambang bukit hutan batangtorusrbagai das batangtoru rusak parah saksi sendir ibiladi perhati desa kec bstangtoru kena dampak desa garoga huta goda sorot sbp jalan lintas desa dalam parah rusak baiknitu mukim lahan tani dsb das sungai batangtoru hancur alir sungai pencar me mungkin luas sera hujan lebat pulih subgai batangtoru alir rusak daerah serperti lahan sawah tani lsinnya bap sungai batangtoru gali batu gali sih butuh daerah tambang emas batangtoru akibat rusak ekologi dasjika biar pulih kemukinan camat batangtoru tinggal nama moga bencana aman damai,Negatif
heran presiden konoha main brpura peduli,Positif
prabowo pegang hp tonton media tunggu teddy,Negatif
abur fakta cari kambing hitam alih isuberes deh,Negatif
guys aman,Positif
sukanto tanoto kuasa hutan sumatra mana bangga bilang rrc tanah air bangun pustaka sana,Positif
percaya mantan culik,Negatif
manusia tamak rakus gunung ditelannyatdk puasnyarakyat dampak sengsara,Negatif
sawit anugerah tuhan cukong,Positif
tempo bongkar beri konsesi hutan besar surabaya,Negatif
alam buka benar ya,Positif
moga balas timpal tanggung jawabamiin yra,Positif
hutan resap babat habis bencana langusng diam,Negatif
hutan asai keluarga cendanamakanya prabowo peduli banjir,Positif
moga libat jatuh ya korban sana tanggung akibat ya mati,Positif
presiden omon omon lindung sih gemoy teddy sang kuasa presiden teddy,Positif
sihomon lahan,Negatif
faktor perintah tetap status bencana nasional,Negatif
kejut banjir bandang kejut terampil pada perintah tangan bencana,Negatif
mana seliwer buzzer fan berat cinta mati salah ya pokok jahil pikir alam indonesia nikmat mikir waris turun,Negatif
tumben bencana sumatra bikin jabat sepi zulhas citra mana gerangan,Negatif
daerah bogor pohon tinggal bukit ya bukit habis asai usaha,Negatif
gemas banget sih orang presiden,Positif
milu ulang rombak perintah polri tni dpr menteri hati nurani pilih presiden wapres hati nurani manusia manusia lai,Positif
bearti prabowo buka sosmed lihat berita tv,Negatif
berkalikali dengar presiden terima info bencana sumatra gue harap gue kaget erti perintah jatuh,Positif
negeri bahan omong sosial media ubah signifikan parah dosa lenggang bebas contoh pagar lauttidak satu main jerat hukum tau kabar lanjut demo counter tunggang negeri viral mattersviral ya hilang korup ya jalan masyarakat gampang ambil suaranyabansos joget kelar miriss,Negatif
daya rusak perintah jokowi parah ubah lu lu untung kapitalis bantah nominasi manusia korup versi occrp,Negatif
presiden hidup bubble halang nyata rawan setir sih,Negatif
banjir hutan kebun sawit kena banjir kebun sawit ya,Negatif
omong orang ya grup wkwkwkwkw sih cuman main kandang kuda tau ceritain cucu ya cucu skip ya tau,Negatif
prabowo andil rusa lingkung sumatra buka lahan sawit,Positif
selamat salah pilih pimpin pilih rusa lambat info alias gantung bisik smart people puja orba,Negatif
bungkam takut penguasamasa sih usaha lurah menteri hutan,Positif
manusia kuasa cipta air angin tanahlumpurbatu bapak cipta keruh suasana bikin kacau,Positif
rkyt aceh sumut sumbar hancur an akbt bijak perintah jkw periode hgg,Negatif
salah prabowo nunjuk menteri sesuai ahli ya hancur negara pegang ahli koalisi aman mikir strategy benefit maju rakyat bangsa ya speechless,Positif
gue suka banget bocor alus politik saran tolong tambah sampai tekan tajam mbak najwa shihab isu halhal serius hajat hidup orang audiens gugah berisik situasi krisis tingkat sense of crisis masyarakat sih perintah tingkat sense of crisisnya tau no viral no justice berisik awas perintah percaya,Negatif
perintah lamban merespon presiden melek sosmed pegang hp tua gerak info batas orang dekat kadang presiden sesuai,Positif
kuasa hancur,Positif
pagar laut ikn kereta woosh bandara manowali bencana sumatera bos pasang badan lindung koloni lindung rakyat,Positif
juknis warning badai perintah kerja enak erti dikerjain stdknya nyawa orang selamat kerja,Positif
bencana nasional lantik oktober,Negatif
mantap analisis,Positif
sih omong kepala bnpbnya statement ya kayak orang alam bidang public relation staff tegur kepala lho,Negatif
inkompentensi bawa petaka,Negatif
ayo tanam sawit deforestasi nama kelapa sawit ya pohon daun,Positif
nilai tinggi sih,Positif
rakyat banget terima nama takdir allah ubah,Positif
adil jokowi mulyono luhut panjaitan bahlil raja juli antoni dll,Negatif
simak,Negatif
indonesia negara federal daerah anak tiri negeri,Negatif
omon sawit luas kab provinsi acehmasuk sebab kayak,Negatif
perintah pura dengar lihat konten,Positif
perintah bentuk bencana konstitusisiap tuai aneka bencana alam rakyat korbantmbal,Negatif
allah tetap orang orang salah sebab bencana banjir tanah longsor timpa wil sumut sumbar aceh kelak tanggung akhirat,Negatif
masyaallah berisik berteriakselalu ngiang ria warga terdzalimi daerah kena banjirsaudara orang cinta hilang tinggal ayo bpibu bijak aman sehat selamat warga negara tolong tjd salah tau banjir longsor luas pulau sumatera moga ketuk hati pikir banjir longsor astaghfirullah,Negatif
pimpin anak buah habis pimpin terima lapor kuramg,Positif
kepala bnpb,Negatif
rusak orang aku,Negatif
lengser prabowo subianto,Negatif
akibat cukong oligarki jabat moral cari kaya pribadi kelompok rakyat dosa tanggung derita akibat bencana orangorang moral laku,Negatif
mnrtku kunci informasi seskab sih teddy kali usaha tutup kondisi realita,Negatif
ngeri emangalam menang,Negatif
lupa beli saham tempo gaes,Negatif
bocor alus barometer informasi indonesia sayang penyevong perintah otak pikir tonton otak panas,Negatif
lawan senyap viral kasih fakta maju greenpeace tempo,Negatif
hukum dunia sentuh moga jokowi keluarga kroni hancur alam semesta mahluk hidup dalam mendptkan hukum seadiladilnya tuhan mahakuasa amin,Positif
perintah gay,Negatif
bencana gede masuk angin salah dicariin kambing congek alias cecere,Negatif
orang bisnis rusak ekosistem peduli hidup tuju kumpul cuan rusa nyawa ganggu mentalitas orang busuk penghianat negara lindung,Negatif
pimpin ya ngurusi electoral suara,Positif
ya alas lingkar prabowo tutup jadi ya demo prabowo informasi,Negatif
prabowo hati sekitar mafia kedok sahabat hambat informasi atur tau,Negatif
tempo omong doang,Negatif
critical point adil tri,Negatif
tuntut sih mahkamah inernasional,Negatif
nih bilang soeharto pahlawan pelopor usak sendi hidup bangsa,Negatif
organisasi buka posko sana yaapa ya,Positif
bencana konstitusi henti suara,Negatif
skalian pimpin plus menteri ya anggota dpr naturalisasi salah naturalisasi kim yong un pimpin konoha becus nangani korupsi bencana alam amburadul,Negatif
gila hidup indonesia jabat jabat teras kangkang rakyat pelihara kecoa usaha usaha pikir indonesia hancur pindah rakyat balas mungkar,Negatif
sepatu husein,Positif
tri kaya orang moral rendah mending jabat pilih patasannya amanah jenjang jaman harto demokrasi mundur midaratnya kebih,Negatif
halo uncle pram republik republik main,Positif
lihat drakor per cewek ketua bmkg badai tim asih informasi cepat jabat perintah bnpb basarnas media warga tau wenang sat set tanggap merespon tangan meminimalisir korban,Negatif
kawal,Negatif
dengar perintah dana milyar bnpb selamat banding dana mbak siap perintah triliun ratus nyawa banding butuh makan anak cukup gizi orang tua data alami gizi buruk juta usia anak sekolah juta perintah juta mbak anak butuh dana selamat hutan,Positif
hutan indonesia paru dunia dongeng nyata paru hutan tbc akut,Negatif
perintah amatir,Negatif
presiden omonomon penting ambisi pribadi derita rakyat,Positif
anies bicara climate change kampanye pilih,Negatif
lambat kali,Positif
alam tunjuk ketidakadilan,Negatif
sejati elit circle kawan penting musuh media konyol ya masyarakat ribut mati bela a bela b kasih bansos panggung musik beres elit keruk alam korupsi besar,Negatif
bencana alam serang oligarki,Negatif
tangkap prabowo,Negatif
rakyat tipu,Negatif
pecat bnpb prabowo bohong anak buah sekian kali loh,Negatif
gbu tempo ulah rarak benar,Negatif
tempo tolong bikin riset ekonomi indonesia kembang tambang,Positif
omon omon,Negatif
omon omon nila,Positif
oke gas gas gas,Negatif
kelas presiden bilang takut sawit pohon serap cowok cabe pohon,Negatif
parah rezimkabinet omonomon real actionsmbacot kayak rezim,Negatif
bencana atas netizen cuap tuduh tulis mikir keluar kotor diam mohon ampun tuhan moga musibah henti mudah baik hidup ekonomi jiwa raga,Negatif
perintah henti mbak guna kadang murid racun alih tanggulang bencana manfaat,Positif
tuhan maha bijaksana atur ekosistem hutansebesar apa curah hujan hutan rusak tangan tangan manusiahutan timbul air bah hutan murka rambah manusia manusia rakus timbul deforestasi,Positif
ya prioritas bela penting rakyat sejahtera sosial kampanye pilih nyata peduli lomba kaya kelompok ya proyek bangun narasi penting sejahtera rakyat balik sarana keruk uang apbn sumber daya alam canggih halus rakyat bungkam bansos kasih makan gratis kroni gila sedot sumber daya siap milu oh kasihan negeri alam bicara kasih lihat fakta bilang oh bencana force majeure orang mana sih ya orang tulus bela penting rakyat,Positif
maaf luar konteks sih peran wakil presiden,Positif
negara dibubarin rusak orde rusak zaman mulyono,Positif
cuman omong perintah cenderung budek bodoh demo serta tindak anarkis dengar,Negatif
perintah omon ngapa kapai ingat aneh pimpin suruh tanam sawit daun hujau beda bro akar akar sawit beda akar pohon hutan omnibuslaw disahahkan jokowi sia salah orang rusak alam indonesia seret laku korban ya orang eh bencana perintah gagap masayarakat kebun kelapa sawit ngapa kapai tuh bantu tuh,Negatif
hasil bumi keruk bumi sakit parah tanggung,Negatif
jajah,Negatif
narasumber koreksi uu no pma ditandangani januari presiden sukarno suharto presiden sukarno suharto suharto presiden maret sila periksa uu ya,Positif
manusia mahluk rakus serakah,Positif
prabowo berani babat legal sebab utama tragedi milu wowo lahan ribu ha lahan sawin sami mawon,Negatif
indonesia nyawa harga,Positif
salah satu omon,Negatif
presiden prabowo,Positif
presiden salah tri bertanggungjawab tangan korban dampak bencana banjir longsor aceh sumatera,Negatif
too much introduction,Negatif
perintah jahat alam dampak negatif masyarakat,Negatif
sesal banget pilih prabowo,Negatif
pantesan prabowo tetap bencana nasional takut tahu dunia prabowo usaha kayu sumatra salah orang sebab bencana,Negatif
murni nih podcast,Negatif
omon omon,Negatif
mantan presiden ajar ugm ahli hutan hutan rusak banjir kayu gelondong,Positif
film dont look up,Negatif
yaamoun kayak wowo lihat yt kids buna sih orang asih berita kesi wowo inputnya,Negatif
rezim omon amburadul demo agustus mempan alam tindak buka mata bangsa,Negatif
proyek ya prabowo musibah manamana,Negatif
ganti rugi rugi rakyat,Negatif
parah sih kedok narasi manusia tewas lindung tambang bala,Negatif
presiden konflik kepentinganhidup jokowi,Positif
risak lini kuat ibadah jauh buat dosa kiamat,Negatif
presiden tobat mimpin rakyat mu contoh biruk,Negatif
sejarah fakultas hutan lingkung ipb didik hutan lndonesia bentuk sekolah tani bogor landbouw hogeschool ubah fakultas nama faculteit voor landbouwwetenschappen status jurus tani jurus hutan naung universiteit van indonesie universitas indonesia fakultas tani universitas lndonesia pisah institut tani bogor ipb lokasi kampus baranangsiang bogor pisah ikut ubah status jurus hutan fakultas hutan suka diri no keluar presiden ri ir soekarno fakultas hutan pindah gedung kampus dramaga fakultas hutan bagi jurus manajemen hutan jurus teknologi hasil hutan jalan program kurikulum ipb studi tingkat si ubah terap program mayorminor ipb jurus manajemen hutan ubah departemen manajemen hutan dmnh jurus teknologi hasil hutan departemen hasil hutan dhh departemen fakultas hutan departemen konservasi sumberdaya hutan ekowisata dkshe diri departemen silvikultur dsvk diri program pascasarjana bidang ilmu kayu kelola hutan kembang program studi ubah program studi ilmu tahu hutan terap program mayorminor ipb fakultas hutan milik mayor program sarjana si mayor program master si mayor program doktor si dhh tawar mayor program si ampu program ilmu teknologi hasil hutan mayor program sarjana manajemen hutan mnh hasil hutan hh konservasi sumberdaya hutan ekowisata kshe silvikultur svk mayor program magister ilmu kelola hutan iph ilmu teknologi hasil hutan thh konservasi biodiversitas tropika kvt manajemen ekowisata jasa lingkung mej silvikultur tropika svk profesi konservasi keanekaragaman hayati kkh mayor program doktor ilmu kelola hutan iph ilmu teknologi hasil hutan thh konservasi biodiversitas tropika kvt manajemen ekowisata jasa lingkung mej silvikultur tropika svk,Positif
ya allah,Positif
tahan orang gercep kasih informasi bentuk gagal depan kayak keliling bubble basiiii,Negatif
prabowo berani lp,Negatif
jokowi jokowi efek undang cipta kerja periode hasil,Positif
preside menteri jabat dpr kpk tni polri usaha jahat maling sekongkol rampok kaya negeri uu investasi pikir manfaat dampak negeri presiden bersih kkn usaha abu presiden berani tindak usaha rugi rusak lingkung masyarakat harap selesai tindak tutup usaha banjir longsor aceh sumut sumbar usaha milik beking jabat jenderal,Negatif
keren banget pimpin alumni hutan jurus kayu gelondong mantap,Positif
omon omon bangga tangan bencana bantu cok asyu bencana citra bobrok moral jabat,Negatif
warga ya akhirat orangorang tuntut ngelindungi akibat susah umur hidup,Negatif
alah simpati prabowosaat hilang simpati beliaukenapa prabowo mantan petinggi militer segi sikap tegas lihat perbuatsikap tegas baca sekaliartinya militer abal abal seragam sungguh ribu sayangartinya prabowo mbiarkan jadi ulah manusia rskus tamakada prabowoseperti daya tindak cepatapa arti pimpin inimenyaksikan media sungguh sakit sebagsi rakyat indonesiabencana rusa hutan sebab jabat tangan prabowoko diam prabowomaka jujur pilih pimpin iniseharusnya gerceptindak oknum usak negarasudah mudah melacaknyaadili tangkap minta pertanggungjawaban merekaatau titip jokowi prabowo takuttinggal pilih beliau bela gelintir orang salah bela rakyat juta jutabila berani jadi ulang tinggal rakyat nilai iniartinya rakyat dukung tuntut berani buat berani tanggung dukung sikap prabowo,Negatif
bencana jadi ladang citra jabat peduli manusia milu raut muka baik muncul habis milu bencana jadi antara pilih citra untung masyarakat kritis,Negatif
pemrintahan perintah ramses ramses,Negatif
astagfirullah sedih sedih ya,Negatif
ditunggutunggu muncul mikir kemarin nih bocor alus bocor fakta ya,Negatif
percaya hilang kjadian,Positif
milu doang jago kirimkirim bansos pas bencana gagapomonomon,Positif
presiden manfaat bisa omon omon doang presiden harusnyabuang air banjir bareng kayu gelondong,Positif
jabat cuan cuan yes mantab jatah izin yes jatah proyek yes jatah bencana yes jos gandos,Positif
kritik perintah sampah bantu saudara sarudara konyol orang orang otak rusak hutan suruh donasi negara aneh pemarintah rakyat usak tumbuh sehat,Negatif
rusa sumber jokowi,Negatif
prabowo ganti menhut mensos menteri esdm menteri lingkung hidup mendagri kapolri kepala bnpb kerja,Positif
selidik tri lingkung hidup kong kali kong ijin terbit,Negatif
tau inigk bencana nasional dah harap,Negatif
coba banjir megatrust respon tanggap bencana kritik susah pegang bijak dengar selamat dirikeluarga penting,Negatif
usak hutan orang perintah korban rakyat,Negatif
perintah gagap takut tahu busuk,Negatif
kayak mrpresiden suruh bikin akun tiktok ig n yt sruh pantengin tuh medsos jam skira ktinggaln informasi brta update diboongi anak buah,Negatif
kritik amat aktivis zaman nabi salah banjir bandang zaman pimpin nabi nuh a garagara banyak pohon sawit b nabi nuh sigap bantu manusia sih tebang pohon buat kapal nabi nuh atas salah apabilah saudara kena musibah bencana alam laku a marah salah nabi malaikat tuhan b hasut salah rajapresidenkepala sukuketua adat sih campur bantu tenaga materi doa,Negatif
uang mbak ya potong tangan bencana alas presiden lahan luas sumatra,Positif
kondisi krisis bencana mnjd uji bang kerja pmrntahan prabowo solid becus nila kompeten jadi uji muncul pimpin sbenarnya pmimpin palsu cundang,Positif
ribu orang tonton nih nyoblos indonesia jabat ya tahi,Negatif
banjir sebab lalai perintah mengijinkan tanam sawit masive jaman surabaya jokowi lanjut prabowo,Negatif
jokowi jokowi pesan kali ya,Positif
orang tewas gara serakah orangorang rebut harta dunia,Negatif
maaf gagal serakah peduli rakyat,Negatif
biar manusia jabat serakaah perintah sebab bencana inimereka peduli nasib negeri bertindakwkt cepat habis,Negatif
sibuk sih presiden informasi lambat berita tv medsos viral sih lihat sedikit,Positif
bilangbiadab jabat pusat,Negatif
yaiyalah gelagap perintah pilih kualitas kecut andal putus bikin bijak monopolis ngawur sematamata cuman bungkam tuju kocakkocak hasil kacau balau jalan perintah mantap sesuai visi misi indonesia bubar,Positif
rakus nih rezim,Negatif
kasihan presiden dikibulin bawah,Positif
perintah pusat lambat tanggulang bencana pulau sumatera,Positif
